date,valueA,valueB,valueC,valueD
2020-01-24,1076,36,26,897
2020-01-25,2032,39,42,1408
2020-01-26,2692,49,56,2076
2020-01-27,5794,56,82,2857
2020-01-28,6973,73,106,4630
2020-01-29,9239,119,133,6095
2020-01-30,12167,135,171,8149
2020-01-31,15238,214,213,9811
2020-02-01,17988,275,259,11901
2020-02-02,19544,434,304,14490
2020-02-03,21558,527,361,17341
2020-02-04,23214,718,426,20530
2020-02-05,23260,1018,493,24434
2020-02-06,24702,1373,564,28138
2020-02-07,26359,1753,637,31264
2020-02-08,27657,2375,724,34673
2020-02-09,28942,2900,813,37289
2020-02-10,23589,3551,909,40262
2020-02-11,21675,4301,1017,42747
2020-02-12,16067,5066,1116,44765
2020-02-13,13435,6215,1368,59907
2020-02-14,10109,7092,1382,63950
2020-02-15,8969,8494,1524,66581
2020-02-16,8228,9671,1666,68592
